BROKER,CALIBRE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION,N_OBS
ANHUI 5 STARS,J,3,0.40611464877281556,-0.61865603570015,1.4308853332607379,6649,6,INCIERTO,15
ANHUI 5 STARS,J,4,6.155801670894219,5.04560860259782,7.2659947391908,6649,6,MEJOR,13
ANHUI 5 STARS,J,5,0.164507725007077,-2.092266504286676,2.4212819543007904,6649,6,INCIERTO,46
ANHUI 5 STARS,J,6,1.922490700116625,1.5932739941386127,2.2517074060946407,6649,6,MEJOR,111
ANHUI 5 STARS,J,7,-0.7318402979991703,-2.075764690383272,0.612084094384846,6649,6,INCIERTO,23
ANHUI 5 STARS,J,8,-2.1049478915564883,-2.662872042536211,-1.547023740576755,6649,6,PEOR,51
ANHUI 5 STARS,J,9,0.22459083849102512,-0.4924495198626945,0.9416311968449186,6649,6,INCIERTO,39
ANHUI 5 STARS,J,10,,55.46700267669683,59.99381282281076,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,J,11,1.1958474062480142,0.4828884363800352,1.908806376116024,6649,6,MEJOR,49
ANHUI 5 STARS,J,12,,84.39369146837333,97.6178879938555,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,J,13,,183.92941158877736,408.1877697260693,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,J,14,,-8.418410985360852,17.098183431947717,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,J,15,,88.29233930126199,362.7362367336159,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XL,3,,-64.48778576513861,1.2994062577431649,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XL,4,,-416.6478299671012,652.967374695306,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XL,5,,13.545071370369389,15.30693195085196,6649,6,SIN SOPORTE,7
ANHUI 5 STARS,XL,6,-1.554408831760707,-2.216723098911879,-0.8920945645874016,6649,6,PEOR,27
ANHUI 5 STARS,XL,7,-1.7166795353091686,-2.5359438666529277,-0.8974152039653385,6649,6,PEOR,12
ANHUI 5 STARS,XL,8,4.051563696315339,3.6944692938122503,4.408658098817408,6649,6,MEJOR,20
ANHUI 5 STARS,XL,9,,4.09270611239663,5.0615037437964325,6649,6,SIN SOPORTE,6
ANHUI 5 STARS,XL,10,,-721.7837356409002,276.6360294508924,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XL,11,,-146.41277397583116,-75.67927856817033,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XL,12,,-52.107708458439845,-19.231049944762677,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XL,13,,-49.98255568978188,26.28399358148694,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XL,14,,-441.9678502970976,3072.848776976917,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XL,15,,-1113.0481513044097,101.9200975593875,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,3,,-427.95198091825955,772.7614226647047,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,4,,236.2890742527365,253.73850937414824,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,5,,-78.40109750944586,-65.1660606874905,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,6,,18.543728137828428,20.42763671480193,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,7,,-1.00576158462719,-0.04658309850431536,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,8,,-9.560638098848152,-4.658490572290454,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,9,,-14.052051107134517,17.571047131878924,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,10,,-1710.6889735258494,-1549.725380753788,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,11,,-199.57309277977754,-19.477446765740865,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,12,,42.87127508816745,76.12828616486543,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,13,,-602.0047002834497,751.8836285593158,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,14,,-226.2809666414632,-187.78902256741824,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,LD,15,,139.18416151996266,417.4409918759667,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,L,3,,-125.53523857889742,-110.80325057173104,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,L,4,,-33.102871970657404,-16.265765626007084,6649,6,SIN SOPORTE,0
