,CODENVASE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION
0,C4635096,3,2.607203917531753,-10.595765731505342,15.810173566569134,3004,6,INCIERTO
1,C4635096,4,28.73549355757978,3.4039984206816953,54.06698869447786,3004,6,MEJOR
2,C4635096,5,-8.017892997651344,-48.11587649648864,32.08009050118594,3004,6,INCIERTO
3,C4635096,6,-16.459681306650754,-44.30213087553014,11.382768262228623,3004,6,INCIERTO
4,C4635096,7,12.619570062466385,-15.835449303525115,41.07458942845832,3004,6,INCIERTO
5,C4635096,8,2.165232497278957,-66.31079833725215,70.64126333180998,3004,6,INCIERTO
6,C4635096,9,-13.410654666514263,-27.865073397614843,1.0437640645862825,3004,6,INCIERTO
7,C4635096,10,-4.8551125753587066,-17.627505165985355,7.917280015267941,3004,6,INCIERTO
8,C4635096,11,15.176478496614397,-86.67049550661739,117.02345249984424,3004,6,INCIERTO
9,C4635096,12,-6.562219555437452,-10.27942099344035,-2.8450181174345546,3004,6,PEOR
10,C4635096,13,16.35671488829429,-10.541271646196765,43.25470142278496,3004,6,INCIERTO
11,C4635096,14,62.76165587863432,-19.984120759532992,145.5074325168016,3004,6,INCIERTO
12,C4635096,15,-72.26463388805912,-197.2042013087618,52.6749335326427,3004,6,INCIERTO
13,C0535100,3,1.2524802188618365,0.926996171710107,1.5779642660135664,371659,6,MEJOR
14,C0535100,4,4.631828816434172,4.44764441690322,4.816013215965125,371659,6,MEJOR
15,C0535100,5,5.005805603764989,4.881286118729193,5.130325088800783,371659,6,MEJOR
16,C0535100,6,2.734590994119955,2.6138033941723666,2.8553785940675422,371659,6,MEJOR
17,C0535100,7,2.2751110526897182,2.1627345075720767,2.387487597807359,371659,6,MEJOR
18,C0535100,8,1.940758865661905,1.8064926116633488,2.075025119660461,371659,6,MEJOR
19,C0535100,9,1.8748249501475902,1.6665456769249323,2.0831042233702495,371659,6,MEJOR
20,C0535100,10,1.8560509045285678,1.6175864379991158,2.0945153710580184,371659,6,MEJOR
21,C0535100,11,2.827292380119969,2.4376997971469443,3.216884963092994,371659,6,MEJOR
22,C0535100,12,3.7490762807671136,3.3391946174845395,4.158957944049687,371659,6,MEJOR
23,C0535100,13,3.31319837271493,2.55555543158964,4.07084131384022,371659,6,MEJOR
24,C0535100,14,2.8259978824177128,2.4773811589437558,3.1746146058916733,371659,6,MEJOR
25,C0535100,15,0.9078384531507626,-0.5855653472815502,2.401242253583076,371659,6,INCIERTO
26,C4434125,3,3.5776431268311413,-26.59107371794068,33.746359971602956,12982,6,INCIERTO
27,C4434125,4,-46.7411460070121,-78.68007322788317,-14.802218786142014,12982,6,PEOR
28,C4434125,5,-14.8658654357774,-103.4654338181002,73.73370294654539,12982,6,INCIERTO
29,C4434125,6,38.676596805733084,-0.595906345312045,77.94909995677824,12982,6,INCIERTO
30,C4434125,7,6.615671812754201,-32.51078094981446,45.742124575322855,12982,6,INCIERTO
31,C4434125,8,36.81836660153483,-96.00387082824462,169.64060403131487,12982,6,INCIERTO
