BROKER,ETIQUETA,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION,N_OBS
ANHUI 5 STARS,SAN FRANCISCO,3,0.6282141748301222,0.4679437058889596,0.7884846437712794,6649,6,MEJOR,65
ANHUI 5 STARS,SAN FRANCISCO,4,0.8581216252821459,0.71452618591103,1.0017170646533085,6649,6,MEJOR,157
ANHUI 5 STARS,SAN FRANCISCO,5,0.5508615251236555,0.34456182074920316,0.7571612294981069,6649,6,MEJOR,214
ANHUI 5 STARS,SAN FRANCISCO,6,0.2976868787386282,0.22401830678460047,0.3713554506926648,6649,6,MEJOR,495
ANHUI 5 STARS,SAN FRANCISCO,7,0.336869533929236,0.2379385182993295,0.4358005495591061,6649,6,MEJOR,191
ANHUI 5 STARS,SAN FRANCISCO,8,0.1129628210519642,0.05391664798589803,0.17200899411804635,6649,6,MEJOR,335
ANHUI 5 STARS,SAN FRANCISCO,9,-0.5480701267922339,-0.6277689813744703,-0.46837127220999475,6649,6,PEOR,346
ANHUI 5 STARS,SAN FRANCISCO,10,-0.0011131843838478872,-0.12446864272493574,0.12224227395701612,6649,6,INCIERTO,30
ANHUI 5 STARS,SAN FRANCISCO,11,0.35801820986728294,0.25936677360854693,0.45666964612542166,6649,6,MEJOR,299
ANHUI 5 STARS,SAN FRANCISCO,12,0.908020286248636,0.804785205459058,1.0112553670383275,6649,6,MEJOR,187
ANHUI 5 STARS,SAN FRANCISCO,13,,-86.15278076724204,5.518669523137902,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,SAN FRANCISCO,14,,-14.397905543170996,25.66877396473231,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,SAN FRANCISCO,15,,-43.834474633727496,566.8191340498628,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,YELLOW DREAMS,3,,-53.38442857974097,33.93141757579233,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,YELLOW DREAMS,4,,0.14446115011938213,0.3464447222265859,6649,6,SIN SOPORTE,0
