BROKER,CALIBRE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION
ANHUI 5 STARS,J,3,0.0682133060495862,-0.1435151212177402,0.27994173331761685,6649,6,INCIERTO
ANHUI 5 STARS,J,4,1.231978978381213,1.010643297038056,1.4533146597243258,6649,6,MEJOR
ANHUI 5 STARS,J,5,0.033289429487720845,-0.4181839580956215,0.48476281707079794,6649,6,INCIERTO
ANHUI 5 STARS,J,6,0.3841268782434397,0.31877923361092175,0.449474522875967,6649,6,MEJOR
ANHUI 5 STARS,J,7,-0.15596847562119365,-0.4239318929233258,0.11199494168125818,6649,6,INCIERTO
ANHUI 5 STARS,J,8,-0.42620957934964965,-0.5379362220273038,-0.31448293667199545,6649,6,PEOR
ANHUI 5 STARS,J,9,0.0497138467126903,-0.09433655843095662,0.1937642518562395,6649,6,INCIERTO
ANHUI 5 STARS,J,10,5.100248152609879,4.864210993429899,5.336285311316012,6649,6,MEJOR
ANHUI 5 STARS,J,11,0.24726280724513483,0.10350496598551001,0.3910206485047538,6649,6,MEJOR
ANHUI 5 STARS,J,12,29.72785254388873,24.163494436603177,35.292210714882565,6649,6,MEJOR
ANHUI 5 STARS,J,13,4.0842273875884985,2.2691846707518386,5.899270106273251,6649,6,MEJOR
ANHUI 5 STARS,J,14,0.22482870114281506,-0.06447941525939693,0.5141368175450276,6649,6,INCIERTO
ANHUI 5 STARS,J,15,3.271572543118964,-40.11475717070075,46.657902258350205,6649,6,INCIERTO
ANHUI 5 STARS,XL,3,-7.104932658101234,-8.535990577949683,-5.67387473901335,6649,6,PEOR
ANHUI 5 STARS,XL,4,20.81941085150902,-122.05017512418885,163.6889968118837,6649,6,INCIERTO
ANHUI 5 STARS,XL,5,2.885859098288717,2.7095623679034584,3.0621558286745416,6649,6,MEJOR
ANHUI 5 STARS,XL,6,-0.311921562822814,-0.44465357798369554,-0.17918954767195294,6649,6,PEOR
ANHUI 5 STARS,XL,7,-0.34360562082375523,-0.5076927383484671,-0.1795185032989954,6649,6,PEOR
