BROKER,VARIEDAD,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION,N_OBS,IC_WIDTH
ANHUI 5 STARS,SANTINA,3,,-0.022368799848081433,0.6252684157982725,6649,6,SIN SOPORTE,0,0.6476372156463539
ANHUI 5 STARS,SANTINA,4,,0.0021724702958099695,0.5827298268684206,6649,6,SIN SOPORTE,0,0.5805573565726105
ANHUI 5 STARS,SANTINA,5,,-0.06193183145117154,0.31829610582687723,6649,6,SIN SOPORTE,0,0.38022793727804877
ANHUI 5 STARS,SANTINA,6,-0.1241439682629708,-0.418756224702174,0.17046828817620835,6649,6,INCIERTO,47,0.5892245128783824
ANHUI 5 STARS,SANTINA,7,0.06773802390995043,-0.006918550066656523,0.1423945978865547,6649,6,INCIERTO,368,0.1493131479532112
ANHUI 5 STARS,SANTINA,8,-0.11104515183190244,-0.15822459355289,-0.06386571011090601,6649,6,PEOR,387,0.094358883441984
ANHUI 5 STARS,SANTINA,9,-0.303507412534191,-0.37746731743410694,-0.2295475076342564,6649,6,PEOR,604,0.14791980979985053
ANHUI 5 STARS,SANTINA,10,-0.53268545317008,-0.6726010705208256,-0.39276983581933084,6649,6,PEOR,129,0.2798312347014948
ANHUI 5 STARS,SANTINA,11,0.43879096511374394,0.35704092236674656,0.520541007860758,6649,6,MEJOR,318,0.1635000854940114
ANHUI 5 STARS,SANTINA,12,0.9037048126499307,0.8093848714488256,0.9980247538510997,6649,6,MEJOR,186,0.18863988240227403
ANHUI 5 STARS,SANTINA,13,,1.0543818428453124,2.2506462392852002,6649,6,SIN SOPORTE,0,1.1962643964398878
ANHUI 5 STARS,SANTINA,14,,0.1741324302949512,0.24912595245307287,6649,6,SIN SOPORTE,0,0.07499352215812166
ANHUI 5 STARS,SANTINA,15,,-1.5525884027019394,2.097717146797503,6649,6,SIN SOPORTE,0,3.6503055494994423
ANHUI 5 STARS,RAINIER,3,,-0.01590976202174693,0.8622800261926598,6649,6,SIN SOPORTE,0,0.8781897882144067
ANHUI 5 STARS,RAINIER,4,,0.26037980151375706,0.508088305842044,6649,6,SIN SOPORTE,0,0.24770850432828695
ANHUI 5 STARS,RAINIER,5,,-0.017544659206402496,0.4214509329215429,6649,6,SIN SOPORTE,0,0.43899559212794537
ANHUI 5 STARS,RAINIER,6,,-126.44638816021799,-68.90073400981308,6649,6,SIN SOPORTE,0,57.545654150404914
ANHUI 5 STARS,RAINIER,7,,-0.9751120985507344,-0.5772326658684451,6649,6,SIN SOPORTE,0,0.3978794326822893
ANHUI 5 STARS,RAINIER,8,,32.543412358814685,53.34732917338812,6649,6,SIN SOPORTE,0,20.803916814573434
ANHUI 5 STARS,RAINIER,9,,671.090110301057,721.2732758214528,6649,6,SIN SOPORTE,0,50.18316552039573
ANHUI 5 STARS,RAINIER,10,,-90.95634740029799,-71.16190235784872,6649,6,SIN SOPORTE,0,19.79444504244927
ANHUI 5 STARS,RAINIER,11,,-1837.6863747059786,1847.2297244768072,6649,6,SIN SOPORTE,0,3684.9160991827857
ANHUI 5 STARS,RAINIER,12,,-93.4157860989331,320.4480211001469,6649,6,SIN SOPORTE,0,413.86380719908
ANHUI 5 STARS,RAINIER,13,,-1725.8947914087382,1435.4179906987752,6649,6,SIN SOPORTE,0,3161.312782107513
ANHUI 5 STARS,RAINIER,14,,53.76791355559452,92.96435061492504,6649,6,SIN SOPORTE,0,39.19643705933052
ANHUI 5 STARS,RAINIER,15,,-29694.358378446133,-19757.669430279704,6649,6,SIN SOPORTE,0,9936.68894816643
ANHUI 5 STARS,REGINA,3,0.8501701424728711,0.6676466477371046,1.0326936372086493,6649,6,MEJOR,55,0.3650469894715447
ANHUI 5 STARS,REGINA,4,0.30807213848460724,0.18408303811522664,0.43206123885396386,6649,6,MEJOR,343,0.24797820073873722
ANHUI 5 STARS,REGINA,5,-0.049787188089625456,-0.1060034309927343,0.006429054813486046,6649,6,INCIERTO,424,0.11243248580622034
ANHUI 5 STARS,REGINA,6,0.4992423811914164,0.38224306816065445,0.6162416942440071,6649,6,MEJOR,194,0.23399862608335265
ANHUI 5 STARS,REGINA,7,0.7201109654734577,0.6177586698009421,0.8224632611448577,6649,6,MEJOR,52,0.2047045913439156
