,BROKER,ATE,CI_LO,CI_HI,N,SIGNIFICATIVO, DIRECCION
6,"FUJIAN SUN VIRTUE CO.,LTD",1.3027156194148215,1.2237481795851815,1.3816830592444616,20802,True,MEJOR
10,GUANGZHOU QINGUO IMPORT & EXPO,1.0288146207443536,0.933073732022699,1.1245555094660082,12288,True,MEJOR
4,"ZHEJIANG SANGO TRADE CO., LTD",0.9863528063114069,0.9032786963125427,1.069426916310271,13949,True,MEJOR
1,SHANGHAI IVCSUN INDUSTRIAL DEV,0.7147493524983259,0.6654306099503996,0.7640680950462523,108717,True,MEJOR
15,HING LEE AND COMPANY,0.7147400102298175,0.6203705594538959,0.8091094610057391,12982,True,MEJOR
7,FAIKEE FRUIT LIMITED,0.6421105282399022,0.5663172608965212,0.7179037955832831,23626,True,MEJOR
12,ANHUI 5 STARS,0.6375409568249473,0.5260893037477871,0.7489926099021075,6649,True,MEJOR
11,SHOUYANG FRUIT,0.5751995074320406,0.506485177724054,0.6439138371400271,14985,True,MEJOR
13,JINHUA WUZHOU FRUIT CO. LTD ,0.5199949803516286,0.4450193934954131,0.5949705672078441,19676,True,MEJOR
14,COUSH - CHAOQI,0.5077823409807434,0.4152209435582739,0.6003437384032129,8955,True,MEJOR
9,LAIFU,0.4907384991458972,0.38973675734562,0.5917402409461743,7773,True,MEJOR
19,"SHANGHAI FRUITDAY CO.,LTD",0.4443264827546719,0.33298323269135005,0.5556697328179938,4412,True,MEJOR
16,HEMA,0.4159868392532393,0.2757416020091224,0.5562320764973562,3162,True,MEJOR
5,CHENS SUN GROUP,0.3999167345315558,0.31633150310343466,0.4835019659596769,9045,True,MEJOR
0,SHANGHAI YUQIAN (Z FRUIT),0.3603933007052663,0.30550603944467725,0.4152805619658554,89944,True,MEJOR
3,"KINGO FRUITS CO., LTD.",0.2547931528379673,0.16521188229587158,0.34437442338006297,26779,True,MEJOR
17,"WDJ UNISUPPLYING CO.,LTD ",0.1661010891947433,0.0489422350588881,0.2832599433305985,5075,True,MEJOR
2,SHENYANG QUPAI TRADING CO. LTD,0.16551737036913636,0.11009687373095436,0.22093786700731832,60297,True,MEJOR
20,PEACE FRUIT,0.10709319766425682,-0.10344915735834725,0.31763555268686083,2123,False,NO SIGNIFICATIVO
21,FRUTACLOUD,0.04354873905846459,-0.06233084370330646,0.1494283218202356,4777,False,NO SIGNIFICATIVO
18,JIAXING HUATONG FRUIT CO. LTD,0.001292342652982201,-0.10755529603688163,0.110139981342846,8327,False,NO SIGNIFICATIVO
8,NINGBO XIANFENG FRUIT TRADING,-0.1802324273470049,-0.25864660399998196,-0.10181825069402788,26139,True,PEOR
