,VARIEDAD,SEMANA,BROKER_OPTIMO,GANANCIA_VS_FF,CI_LO,CI_HI,DIRECCION
0,AREKO,3,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
1,AREKO,4,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
2,AREKO,5,SHANGHAI IVCSUN INDUSTRIAL DEV,0.028790386321754013,-0.704425011643534,0.7620057842870428,INCIERTO
3,AREKO,6,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
4,AREKO,7,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
5,AREKO,8,SHANGHAI IVCSUN INDUSTRIAL DEV,0.5513133771181344,0.17747140766310565,0.9251553465732059,MEJOR
6,AREKO,9,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
7,AREKO,10,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
8,AREKO,11,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
9,AREKO,12,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
10,AREKO,13,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
11,AREKO,14,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
12,AREKO,15,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
13,BING,3,FAIKEE FRUIT LIMITED,1.1817415762205892,0.7244453505058346,1.639037801935349,MEJOR
14,BING,4,SHENYANG QUPAI TRADING CO. LTD,0.9679688788734211,0.29143437795799254,1.6445033797886222,MEJOR
15,BING,5,COUSH - CHAOQI,1.8486787229776382,1.5644932174103756,2.1328642248196106,MEJOR
16,BING,6,JINHUA WUZHOU FRUIT CO. LTD ,0.8801472374312183,0.7434863443947934,1.016808130440126,MEJOR
17,BING,7,PEACE FRUIT,1.1930520436954168,1.0045410042251366,1.3815630831656402,MEJOR
18,BING,8,"WDJ UNISUPPLYING CO.,LTD ",1.5213507722433999,1.4555423915962098,1.5871591528879823,MEJOR
19,BING,9,JINHUA WUZHOU FRUIT CO. LTD ,1.0577561610807606,0.8559607954921045,1.2595515267057966,MEJOR
20,BING,10,"ZHEJIANG SANGO TRADE CO., LTD",0.6823635101318359,0.40625377054741574,0.9584722960419396,MEJOR
21,BING,11,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
22,BING,12,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
23,BING,13,"KINGO FRUITS CO., LTD.",10.727050046814838,8.48000093719926,12.97409915654683,MEJOR
24,BING,14,NINGBO XIANFENG FRUIT TRADING,0.20639507099986076,-1.2688495567511249,1.6816396996821688,INCIERTO
25,BING,15,SHANGHAI IVCSUN INDUSTRIAL DEV,1.687493841702235,-0.3254753998951987,3.700463083328772,INCIERTO
26,BLACK PEARL,3,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
27,BLACK PEARL,4,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
28,BLACK PEARL,5,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
29,BLACK PEARL,6,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
30,BLACK PEARL,7,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
31,BLACK PEARL,8,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
32,BLACK PEARL,9,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
33,BLACK PEARL,10,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
34,BLACK PEARL,11,SHANGHAI IVCSUN INDUSTRIAL DEV,0.706376388669014,0.2343373772282918,1.1784154597143808,MEJOR
35,BLACK PEARL,12,COUSH - CHAOQI,2.6058445066208407,1.3007235159346608,3.9109654973070347,MEJOR
36,BLACK PEARL,13,SHANGHAI YUQIAN (Z FRUIT),2.9856287881266326,-0.7749915470233764,6.7462491219960725,INCIERTO
